customer_id,cluster,Churn_Flag,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Total_Trans_Ct
0,1,0,45,3,39,5,1,3,12691.0,777,11914.0,1.335,1144,1.625,42
1,1,0,49,5,44,6,1,2,8256.0,864,7392.0,1.541,1291,3.714,33
2,1,0,51,3,36,4,1,0,3418.0,0,3418.0,2.594,1887,2.333,20
3,1,0,40,4,34,3,4,1,3313.0,2517,796.0,1.405,1171,2.333,20
4,1,0,40,3,21,5,1,0,4716.0,0,4716.0,2.175,816,2.5,28
5,2,0,44,2,36,3,1,2,4010.0,1247,2763.0,1.376,1088,0.846,24
6,0,0,51,4,46,6,1,3,34516.0,2264,32252.0,1.975,1330,0.722,31
7,0,0,32,0,27,2,2,2,29081.0,1396,27685.0,2.204,1538,0.714,36
8,0,0,37,3,36,5,2,0,22352.0,2517,19835.0,3.355,1350,1.182,24
9,2,0,48,2,36,6,3,3,11656.0,1677,9979.0,1.524,1441,0.882,32
10,2,0,42,5,31,5,3,2,6748.0,1467,5281.0,0.831,1201,0.68,42
11,1,0,65,1,54,6,2,3,9095.0,1587,7508.0,1.433,1314,1.364,26
12,1,0,56,1,36,3,6,0,11751.0,0,11751.0,3.397,1539,3.25,17
13,1,0,35,3,30,5,1,3,8547.0,1666,6881.0,1.163,1311,2.0,33
14,2,0,57,2,48,5,2,2,2436.0,680,1756.0,1.19,1570,0.611,29
15,1,0,44,4,37,5,1,2,4234.0,972,3262.0,1.707,1348,1.7,27
16,0,0,48,4,36,6,2,3,30367.0,2362,28005.0,1.708,1671,0.929,27
17,1,0,41,3,34,4,4,1,13535.0,1291,12244.0,0.653,1028,1.625,21
18,1,0,61,1,56,2,2,3,3193.0,2517,676.0,1.831,1336,1.143,30
19,0,0,45,2,37,6,1,2,14470.0,1157,13313.0,0.966,1207,0.909,21
20,0,0,47,1,42,5,2,0,20979.0,1800,19179.0,0.906,1178,0.929,27
21,2,1,62,0,49,2,3,3,1438.3,0,1438.3,1.047,692,0.6,16
22,1,0,41,3,33,4,2,1,4470.0,680,3790.0,1.608,931,1.571,18
23,2,0,47,4,36,3,3,2,2492.0,1560,932.0,0.573,1126,0.353,23
24,2,0,54,2,42,4,2,3,12217.0,0,12217.0,1.075,1110,0.75,21
25,2,0,41,3,28,6,1,2,7768.0,1669,6099.0,0.797,1051,0.833,22
26,1,0,59,1,46,4,1,2,14784.0,1374,13410.0,0.921,1197,1.3,23
27,1,0,63,1,56,3,3,2,10215.0,1010,9205.0,0.843,1904,1.0,40
28,1,0,44,3,34,5,2,2,10100.0,0,10100.0,0.525,1052,1.571,18
29,1,0,47,4,42,6,0,0,4785.0,1362,3423.0,0.739,1045,0.9,38
30,1,0,53,3,33,3,2,3,2753.0,1811,942.0,0.977,1038,2.571,25
31,1,0,53,2,48,2,5,1,2451.0,1690,761.0,1.323,1596,1.6,26
32,1,0,41,4,36,4,1,2,8923.0,2517,6406.0,1.726,1589,1.667,24
33,2,0,53,2,38,5,2,3,2650.0,1490,1160.0,1.75,1411,1.0,28
34,2,0,58,0,49,6,2,2,12555.0,1696,10859.0,0.519,1291,0.714,24
35,1,0,55,1,36,4,2,1,3520.0,1914,1606.0,0.51,1407,0.483,43
36,1,0,55,3,36,6,2,3,3035.0,2298,737.0,1.724,1877,1.176,37
37,2,0,42,4,36,2,3,3,15433.0,0,15433.0,0.865,966,1.2,22
38,2,0,57,1,49,3,3,2,3672.0,886,2786.0,1.32,1464,0.556,28
39,2,1,66,0,56,5,4,3,7882.0,605,7277.0,1.052,704,0.143,16
40,0,0,45,3,41,2,2,2,32426.0,578,31848.0,1.042,1109,0.474,28
41,1,0,51,2,44,4,1,0,6205.0,2204,4001.0,0.803,1347,0.556,28
42,0,0,50,1,43,3,2,3,17304.0,2517,14787.0,1.449,1756,1.2,33
43,1,0,49,3,37,5,2,1,3906.0,0,3906.0,1.214,1756,1.0,32
44,2,0,38,4,28,2,3,3,9830.0,2055,7775.0,0.977,1042,0.917,23
45,0,0,49,4,30,3,2,3,34516.0,0,34516.0,1.621,1444,1.333,28
46,1,0,56,2,45,6,2,0,2283.0,1430,853.0,2.316,1741,0.588,27
47,1,0,59,1,52,3,2,2,2548.0,2020,528.0,2.357,1719,1.7,27
