Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Has_Dependents,Total_Trans_Amt_log,Total_Revolving_Bal_log,Avg_Open_To_Buy_log,Credit_Limit_log,Total_Amt_Chng_Q4_Q1_log,Total_Ct_Chng_Q4_Q1_log,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Tenure_bin_3–4 years,Tenure_bin_4–5 years,Tenure_bin_<2 years,Age_bin_30–39,Age_bin_40–49,Age_bin_50–59,Age_bin_60+
45,3,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,1,7.0431599159883405,6.656726524178391,9.385553389532843,9.448727152703086,0.8480118911208606,0.965080896043587,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
49,5,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,1,7.163946684342547,6.762729506931879,8.9082888855571,9.01881660441743,0.932557704338027,1.5505368045139394,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
51,3,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,1,7.543273346705446,0.0,8.137103389639302,8.137103389639302,1.2792657883613672,1.2038727993256026,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
40,4,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,1,7.066466970136958,7.831220214604293,6.680854678790215,8.105911197986508,0.8775499035577246,1.2038727993256026,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
40,3,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,1,6.705639094860003,0.0,8.458928283284262,8.458928283284262,1.155307632344655,1.252762968495368,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
44,2,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,1,6.9930151229329605,7.129297548929373,7.92443418488756,8.296795865770052,0.8654184015003984,0.6130211360806604,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
51,4,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,1,7.193685818395112,7.725330037917135,10.381366341153338,10.44920723527944,1.0902440389975931,0.543486406005539,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
32,0,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0,7.338888133838879,7.242082359256962,10.22868214924768,10.277874705073431,1.1644000292061127,0.538829820175588,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
37,3,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,1,7.208600337960199,7.831220214604293,9.895253747609024,10.014715819221838,1.4713246103044662,0.7802418874108791,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
48,2,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,1,7.273786317844895,7.425357887027151,9.20833836930551,9.363662136919832,0.9258449446789667,0.632335041163188,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
